file,lines,category,snippet,ibkr_action,ibkr_note
main.py,172,IG broker config key,"    ""broker"": ""ig"",                     # ""ig"" or ""ibkr"" (ibkr is placeholder)",REPLACE,"Change the inline comment on the 'broker' config key from '""ig"" or ""ibkr"" (ibkr is placeholder)' to '""ig"" or ""ibkr""' once IBKRBrokerAdapter is fully implemented. Do not change the default value from 'ig' before the adapter is complete."
main.py,180,IG universe tooling,"    ""refresh_universe"": True,  # set True or use --refresh-universe to refresh universe",NO_CHANGE_ADAPTER_HANDLES,Config key 'refresh_universe': True is retained; its effect is gated by the broker guard added to _run_refresh_universe -- when broker=ibkr the key is read but the refresh is silently skipped.
main.py,221-222,IG universe tooling,    if args.refresh_universe:,NO_CHANGE_ADAPTER_HANDLES,CLI flag check 'if args.refresh_universe' is unchanged; the early-return guard inside _run_refresh_universe handles the IBKR no-op.
main.py,226-233,IG epic dot-segment dedup logic; IG universe tooling,"        if config.get(""refresh_universe"", False):",NO_CHANGE_ADAPTER_HANDLES,Conditional call to _run_refresh_universe is unchanged; the guard inside that function handles broker=ibkr by returning False immediately.
main.py,252-253,IG credentials/SDK import; IG error handling,"        elif ""validation.pattern.invalid"" in msg:",EXTEND,"Add an elif branch for IBKR errors before the final else at line 255: elif isinstance(error, (ConnectionRefusedError, TimeoutError)) or 'IBKR' in msg or 'ib_async' in msg.lower(): _print_ibkr_connection_error(error)."
model/model_components/ig_adapter.py,4-5,IG broker config key; IG credentials/SDK import,Implements the BrokerAdapter protocol for the IG trading platform using,NO_CHANGE_ADAPTER_HANDLES,This is the IGBrokerAdapter module docstring; ig_adapter.py is unchanged during IBKR migration. Implement all equivalent methods in ibkr_adapter.py.
model/model_components/ig_adapter.py,17-20,IG credentials/SDK import,from trading_ig import IGService,NO_CHANGE_ADAPTER_HANDLES,"IG-specific import 'from trading_ig import IGService' in ig_adapter.py; unchanged. In ibkr_adapter.py use: from ib_async import IB, Contract, MarketOrder, Stock, Index, Forex, Future"
model/model_components/ig_adapter.py,25,IG DEMO account enforcement; IG DEMO enforcement,"    ACC_TYPE_DEFAULT = ""DEMO""",NO_CHANGE_ADAPTER_HANDLES,IG DEMO enforcement constant (ACC_TYPE_DEFAULT='DEMO') in ig_adapter.py; unchanged. In ibkr_adapter.py enforce paper trading by declaring PAPER_PORT=4002 and raising RuntimeError if int(IBKR_PORT) != PAPER_PORT in connect().
model/model_components/ig_adapter.py,33-39,IG API call wrappers; IG DFB expiry (CFD); IG GBP default currency; IG SDK specifics,"    EXPIRY = ""-""                    # DFB / no expiry for CFDs",NO_CHANGE_ADAPTER_HANDLES,"IG-specific constants EXPIRY='-' and CURRENCY='GBP' in ig_adapter.py; unchanged. In ibkr_adapter.py omit both: IBKR has no DFB concept and currency is per-contract, not a class-level default."
model/model_components/ig_adapter.py,44,IG credentials/SDK import,        self._ig: IGService | None = None,NO_CHANGE_ADAPTER_HANDLES,IG session field 'self._ig: IGService | None = None' in ig_adapter.py; unchanged. In ibkr_adapter.py declare 'self._ib: IB | None = None'.
model/model_components/ig_adapter.py,52-54,IG API call wrappers; IG DEMO account enforcement; IG credentials env var; IG credentials/SDK import,"        username, password, api_key, acc_type = self._load_credentials()",NO_CHANGE_ADAPTER_HANDLES,"IG credential loading call in ig_adapter.py; unchanged. In ibkr_adapter.py implement _load_credentials() to read IBKR_HOST, IBKR_PORT (assert == 4002), IBKR_CLIENT_ID, IBKR_ACCOUNT_ID from os.environ; raise RuntimeError listing any missing keys."
model/model_components/ig_adapter.py,59-65,IG API call wrappers; IG broker config key; IG credentials env var; IG credentials/SDK import; IG trading_ig SDK method,        ig = self._require_session(),NO_CHANGE_ADAPTER_HANDLES,"IG connect() implementation in ig_adapter.py; unchanged. In ibkr_adapter.py: self._ib = IB(); asyncio.get_event_loop().run_until_complete(self._ib.connectAsync(host, port, clientId=int(client_id))); return {'account_id': self._account_id}."
model/model_components/ig_adapter.py,86-87,IG API call wrappers; IG credentials/SDK import; IG trading_ig SDK method,        ig = self._require_session(),NO_CHANGE_ADAPTER_HANDLES,"IG get_account_info() in ig_adapter.py; unchanged. In ibkr_adapter.py: summary = self._ib.accountSummary(self._account_id); extract TotalCashValue -> cash and NetLiquidation -> balance from AccountValue items; return {'cash': float, 'balance': float}."
model/model_components/ig_adapter.py,109,IG epic identifier,"                ""instrument_id"": mkt.get(""epic"", """"),",NO_CHANGE_ADAPTER_HANDLES,IG get_positions() response mapping 'instrument_id': mkt.get('epic') in ig_adapter.py; unchanged. In ibkr_adapter.py map instrument_id from pos.contract.symbol (e.g. 'DAX').
model/model_components/ig_adapter.py,113,IG deal_id concept,"                ""deal_id"": pos.get(""dealId"", """"),",NO_CHANGE_ADAPTER_HANDLES,IG deal_id mapping 'deal_id': pos.get('dealId') in ig_adapter.py; unchanged. In ibkr_adapter.py set deal_id to str(pos.contract.conId).
model/model_components/ig_adapter.py,124-126,IG API call wrappers; IG credentials/SDK import; IG epic identifier; IG trading_ig SDK method,        ig = self._require_session(),NO_CHANGE_ADAPTER_HANDLES,"IG fetch_historical_prices() entry in ig_adapter.py; unchanged. In ibkr_adapter.py: build Contract, call bars = self._ib.reqHistoricalDataAsync(contract, endDateTime='', durationStr=f'{lookback} D', barSizeSetting='1 day', whatToShow='MIDPOINT', useRTH=True), return [{'open': b.open, 'high': b.high, 'low': b.low, 'close': b.close, 'volume': float(b.volume), 'timestamp': str(b.date)} for b in bars]."
model/model_components/ig_adapter.py,132-139,IG price response schema,"            ts = bar.get(""snapshotTimeUTC"") or bar.get(""snapshotTime"")",NO_CHANGE_ADAPTER_HANDLES,IG bar-schema mapping (snapshotTimeUTC etc.) in ig_adapter.py; unchanged. IBKR bars expose .open .high .low .close .volume .date directly -- no parsing needed in ibkr_adapter.py.
model/model_components/ig_adapter.py,149,IG epic identifier; IG trading_ig SDK method,        Uses the IG date-range API (``fetch_historical_prices_by_epic_and_date_range``),NO_CHANGE_ADAPTER_HANDLES,IG docstring for fetch_historical_prices_by_date_range in ig_adapter.py; unchanged. In ibkr_adapter.py compute durationStr from (today - from_date).days and pass to reqHistoricalDataAsync.
model/model_components/ig_adapter.py,157,IG epic identifier,            IG epic identifier.,NO_CHANGE_ADAPTER_HANDLES,"IG epic identifier docstring in ig_adapter.py; unchanged. In ibkr_adapter.py the instrument_id parameter is the IBKR canonical symbol (e.g. 'DAX', 'EURUSD') used to create a Contract object."
model/model_components/ig_adapter.py,170-174,IG API call wrappers; IG credentials/SDK import; IG epic dot-segment dedup logic,        ig = self._require_session(),NO_CHANGE_ADAPTER_HANDLES,"IG session guard and dot-segment dedup in ig_adapter.py; unchanged. In ibkr_adapter.py implement _require_session() to return self._ib if self._ib.isConnected(), else raise RuntimeError('IBKR adapter not connected; call connect() first')."
model/model_components/ig_adapter.py,178-179,IG API call wrappers; IG credentials/SDK import; IG epic identifier; IG trading_ig SDK method,        raw = self._call_ig_api(,NO_CHANGE_ADAPTER_HANDLES,IG _call_ig_api call for date-range prices in ig_adapter.py; unchanged. In ibkr_adapter.py call self._ib.reqHistoricalDataAsync directly with computed durationStr.
model/model_components/ig_adapter.py,185-192,IG price response schema,"            ts = bar.get(""snapshotTimeUTC"") or bar.get(""snapshotTime"")",NO_CHANGE_ADAPTER_HANDLES,IG bar-schema mapping for date-range prices in ig_adapter.py; unchanged. IBKR bars use the same field access as row 29.
model/model_components/ig_adapter.py,202-206,IG API call wrappers; IG instrument info schema,        derived from the IG snapshot's ``dealingEnabled`` field and the instrument's,NO_CHANGE_ADAPTER_HANDLES,IG fetch_instrument_info() dealing_enabled docstring in ig_adapter.py; unchanged. In ibkr_adapter.py call details = self._ib.reqContractDetails(contract) and set dealing_enabled based on whether details is non-empty.
model/model_components/ig_adapter.py,220-231,IG API call wrappers; IG credentials/SDK import; IG epic identifier; IG instrument info schema; IG trading_ig SDK method,"            market = self._call_ig_api(ig.fetch_market_by_epic, instrument_id)",NO_CHANGE_ADAPTER_HANDLES,"IG fetch_instrument_info() implementation (fetch_market_by_epic) in ig_adapter.py; unchanged. In ibkr_adapter.py: details = self._ib.reqContractDetails(contract)[0]; map minTick -> min_size_increment, contract.symbol -> instrument_id, contract.currency -> currency; set scaling_factor=1.0 for most IBKR instruments."
model/model_components/ig_adapter.py,257,IG credentials/SDK import,"                f""[IGBrokerAdapter] WARNING: metadata fetch failed for """,NO_CHANGE_ADAPTER_HANDLES,IG-specific warning log prefix '[IGBrokerAdapter]' in ig_adapter.py; unchanged. In ibkr_adapter.py use prefix '[IBKRBrokerAdapter]' in all log messages.
model/model_components/ig_adapter.py,271-276,IG API call wrappers; IG credentials/SDK import; IG epic identifier; IG trading_ig SDK method,        ig = self._require_session(),NO_CHANGE_ADAPTER_HANDLES,"IG open_position() session guard in ig_adapter.py; unchanged. In ibkr_adapter.py: contract = self._build_contract(instrument_id); trade = self._ib.placeOrder(contract, MarketOrder(direction, size)); return {'deal_reference': str(trade.order.orderId)}."
model/model_components/ig_adapter.py,291,IG deal_reference pattern,"        return {""deal_reference"": response[""dealReference""]}",NO_CHANGE_ADAPTER_HANDLES,IG open_position() return {'deal_reference': response['dealReference']} in ig_adapter.py; unchanged. In ibkr_adapter.py return {'deal_reference': str(trade.order.orderId)} where orderId is assigned by IB.placeOrder.
model/model_components/ig_adapter.py,295,IG deal_id concept,"        deal_id: str,",NO_CHANGE_ADAPTER_HANDLES,IG close_position() deal_id parameter in ig_adapter.py; unchanged. In ibkr_adapter.py use Contract(conId=int(deal_id)) to reconstruct the contract for the closing order.
model/model_components/ig_adapter.py,302-307,IG API call wrappers; IG credentials/SDK import; IG deal_id concept; IG epic identifier; IG trading_ig SDK method,        ig = self._require_session(),NO_CHANGE_ADAPTER_HANDLES,"IG close_position() implementation in ig_adapter.py; unchanged. In ibkr_adapter.py: contract = Contract(conId=int(deal_id)); trade = self._ib.placeOrder(contract, MarketOrder(direction, size)); return {'deal_reference': str(trade.order.orderId)}."
model/model_components/ig_adapter.py,314-322,IG API call wrappers; IG confirm_deal two-step pattern; IG credentials/SDK import; IG deal_id concept; IG deal_reference pattern; IG trading_ig SDK method,"        return {""deal_reference"": response[""dealReference""]}",NO_CHANGE_ADAPTER_HANDLES,"IG confirm_deal() two-step pattern in ig_adapter.py; unchanged. In ibkr_adapter.py: look up Trade by orderId = int(deal_reference); poll for up to 10s using self._ib.sleep(1.0) until trade.isDone(); return {'status': 'ACCEPTED' if trade.orderStatus.status == 'Filled' else 'REJECTED', 'deal_id': str(trade.contract.conId) if filled else None}."
model/model_components/ig_adapter.py,330-334,IG API call wrappers; IG SDK specifics; IG credentials/SDK import,"    def _call_ig_api(self, fn, *args, **kwargs):",NO_CHANGE_ADAPTER_HANDLES,IG _call_ig_api retry wrapper in ig_adapter.py; unchanged. In ibkr_adapter.py implement a simple retry wrapper using asyncio.sleep back-off on ConnectionError; no ApiExceededException equivalent exists in ib_async.
model/model_components/ig_adapter.py,349,IG SDK specifics,"                is_exceeded = exc_name == ""ApiExceededException"" or ""Exceeded"" in exc_name",NO_CHANGE_ADAPTER_HANDLES,IG ApiExceededException handling in ig_adapter.py; unchanged. IBKR has no rate-limit exception equivalent; ib_async raises ConnectionError on connection loss -- handle that in ibkr_adapter.py instead.
model/model_components/ig_adapter.py,358,IG credentials/SDK import,"                        f""[IGBrokerAdapter] {exc_name} on attempt {attempt + 1}/""",NO_CHANGE_ADAPTER_HANDLES,IG log prefix '[IGBrokerAdapter]' in ig_adapter.py; unchanged. Use '[IBKRBrokerAdapter]' as the log prefix in ibkr_adapter.py.
model/model_components/ig_adapter.py,364,IG credentials/SDK import,"                        f""[IGBrokerAdapter] {exc_name} on attempt {attempt + 1}/""",NO_CHANGE_ADAPTER_HANDLES,IG log prefix repeated occurrence in ig_adapter.py; unchanged. Same note as row 45.
model/model_components/ig_adapter.py,369-373,IG API call wrappers; IG credentials/SDK import,    def _require_session(self) -> IGService:,NO_CHANGE_ADAPTER_HANDLES,IG _require_session() in ig_adapter.py; unchanged. In ibkr_adapter.py: def _require_session(self) -> IB: if self._ib is None or not self._ib.isConnected(): raise RuntimeError('IBKR adapter not connected; call connect() first'); return self._ib.
model/model_components/ig_adapter.py,383-391,IG DEMO account enforcement; IG DEMO enforcement; IG SDK specifics; IG credentials env var; IG credentials/SDK import,"        username = self._normalise_credential(os.environ.get(""IG_USERNAME""))",NO_CHANGE_ADAPTER_HANDLES,"IG _load_credentials() reading IG_USERNAME, IG_PASSWORD, IG_API_KEY in ig_adapter.py; unchanged. In ibkr_adapter.py read IBKR_HOST (default '127.0.0.1'), IBKR_PORT (must equal 4002; raise RuntimeError if not), IBKR_CLIENT_ID, IBKR_ACCOUNT_ID from os.environ."
model/model_components/ig_adapter.py,398-400,IG credentials env var; IG credentials/SDK import,"                    (""IG_USERNAME"", username),",NO_CHANGE_ADAPTER_HANDLES,"IG credential error formatting in ig_adapter.py; unchanged. In ibkr_adapter.py raise RuntimeError listing missing keys: ('IBKR_HOST', host), ('IBKR_PORT', port), ('IBKR_CLIENT_ID', client_id), ('IBKR_ACCOUNT_ID', account_id)."
model/model_components/ig_adapter.py,409,IG DEMO account enforcement,"        return username, password, api_key, acc_type",NO_CHANGE_ADAPTER_HANDLES,"IG credential tuple return in ig_adapter.py; unchanged. In ibkr_adapter.py _load_credentials() returns (host, port, client_id, account_id)."
model/model_components/ig_adapter.py,420-421,IG API call wrappers; IG DEMO account enforcement; IG credentials/SDK import,"    def _create_session(self, username, password, api_key, acc_type):",NO_CHANGE_ADAPTER_HANDLES,"IG _create_session() in ig_adapter.py; unchanged. In ibkr_adapter.py implement connect() which calls: self._ib = IB(); self._ib.connect(host, int(port), clientId=int(client_id)) (synchronous connect for non-async contexts) or connectAsync for async."
model/model_components/ig_adapter.py,425-426,IG SDK specifics; IG credentials env var; IG credentials/SDK import,"        acc_number = os.environ.get(""IG_ACC_NUMBER"") or None",NO_CHANGE_ADAPTER_HANDLES,IG IG_ACC_NUMBER env var read in ig_adapter.py; unchanged. In ibkr_adapter.py read IBKR_ACCOUNT_ID from os.environ for account selection in accountSummary and position calls.
model/model_components/ig_adapter.py,430,IG DEMO account enforcement,"            acc_type=acc_type,",NO_CHANGE_ADAPTER_HANDLES,IG acc_type parameter (DEMO/LIVE) in ig_adapter.py; unchanged. IBKR distinguishes paper from live by port number; in ibkr_adapter.py assert int(port) == 4002 and raise RuntimeError('IBKR live trading not permitted; use port 4002') if it does not match.
model/model_components/ig_adapter.py,439-440,IG API call wrappers; IG DEMO account enforcement,"                ig.create_session(version=""2"")",NO_CHANGE_ADAPTER_HANDLES,"IG ig.create_session() call in ig_adapter.py; unchanged. In ibkr_adapter.py the session is established by self._ib.connect(host, port, clientId) -- no separate create_session step."
model/model_components/ig_adapter.py,468,IG price response schema,"        """"""Compute mid price as (bid + ask) / 2, or None if data is missing.""""""",NO_CHANGE_ADAPTER_HANDLES,IG bid/ask mid-price helper _mid_price() in ig_adapter.py; unchanged. IBKR reqHistoricalDataAsync with whatToShow='MIDPOINT' returns mid-price directly; no equivalent helper needed in ibkr_adapter.py.
model/model_components/ig_adapter.py,473-475,IG price response schema,        if bid is None or ask is None:,NO_CHANGE_ADAPTER_HANDLES,"IG None-guard for bid/ask in ig_adapter.py; unchanged. For IBKR, bar.close == 0.0 indicates a missing price; in ibkr_adapter.py convert 0.0 to None when mapping to the normalised bar schema."
model/model_components/ibkr_adapter.py,5,IBKR stub,Brokers (IBKR).  All methods raise ``NotImplementedError`` until a future,REWRITE,"Replace the module docstring placeholder text with: 'IBKRBrokerAdapter implements the BrokerAdapter protocol using ib_async. Requires TWS or IB Gateway running on port 4002 (paper). Import: from ib_async import IB, Contract, MarketOrder, Stock, Index, Forex, Future. Connection: IB().connect(IBKR_HOST, 4002, clientId=IBKR_CLIENT_ID).'"
model/model_components/ibkr_adapter.py,25-31,IBKR stub,"        raise NotImplementedError(""IBKR adapter is not yet implemented."")",REWRITE,"Replace the NotImplementedError stub in connect() with: self._ib = IB(); assert int(self._port) == 4002, 'Only paper trading port 4002 is permitted'; self._ib.connect(self._host, int(self._port), clientId=int(self._client_id)); return {'account_id': self._account_id}."
model/model_components/ibkr_adapter.py,36,IBKR stub,"        raise NotImplementedError(""IBKR adapter is not yet implemented."")",REWRITE,"Replace the NotImplementedError stub in get_account_info() with: summary = self._ib.accountSummary(self._account_id); cash = next((float(v.value) for v in summary if v.tag == 'TotalCashValue'), 0.0); balance = next((float(v.value) for v in summary if v.tag == 'NetLiquidation'), 0.0); return {'cash': cash, 'balance': balance}."
model/model_components/ibkr_adapter.py,41-44,IBKR stub,"        raise NotImplementedError(""IBKR adapter is not yet implemented."")",REWRITE,"Replace the NotImplementedError stub in get_positions() with: positions = self._ib.positions(self._account_id); return [{'instrument_id': p.contract.symbol, 'direction': 'BUY' if p.position > 0 else 'SELL', 'size': abs(float(p.position)), 'level': float(p.avgCost), 'deal_id': str(p.contract.conId), 'profit_loss': 0.0} for p in positions]."
model/model_components/ibkr_adapter.py,54,IBKR stub,"        raise NotImplementedError(""IBKR adapter is not yet implemented."")",REWRITE,"Replace the NotImplementedError stub in fetch_historical_prices() with: contract = self._build_contract(instrument_id); bars = self._ib.reqHistoricalData(contract, endDateTime='', durationStr=f'{lookback} D', barSizeSetting='1 day', whatToShow='MIDPOINT', useRTH=True); return [{'open': b.open, 'high': b.high, 'low': b.low, 'close': b.close or None, 'volume': float(b.volume), 'timestamp': str(b.date)} for b in bars]."
model/model_components/ibkr_adapter.py,58,IG deal_id concept,"        deal_id: str,",REWRITE,The deal_id parameter in close_position() holds the IBKR conId as a string. Update the inline comment to: '# deal_id is str(contract.conId) from get_positions(); reconstruct with Contract(conId=int(deal_id))'. Replace the NotImplementedError stub with the close order logic described in row 41 above.
model/model_components/ibkr_adapter.py,64-67,IBKR stub; IG confirm_deal two-step pattern; IG deal_reference pattern,"        raise NotImplementedError(""IBKR adapter is not yet implemented."")",REWRITE,"Replace the NotImplementedError stub in confirm_deal(deal_reference: str) with: order_id = int(deal_reference); trades = [t for t in self._ib.trades() if t.order.orderId == order_id]; if not trades: return {'status': 'REJECTED', 'deal_id': None}; trade = trades[0]; deadline = time.time() + 10; while not trade.isDone() and time.time() < deadline: self._ib.sleep(1.0); filled = trade.orderStatus.status == 'Filled'; return {'status': 'ACCEPTED' if filled else 'REJECTED', 'deal_id': str(trade.contract.conId) if filled else None}."
model/model_components/broker_adapter.py,58,IG deal_id concept,"                    ""deal_id"":       str,",VERIFY,"Protocol defines 'deal_id': str in get_positions schema. For IBKR deal_id will be str(contract.conId). Verify all consumers (order_executor.py line 85, reconciliation.py line 75, portfolio_ledger.py line 99) accept any non-empty string without treating it as an IG-format dealId."
model/model_components/broker_adapter.py,93,IG broker config key; IG epic identifier,            Broker-specific instrument identifier (e.g. IG epic).,REPLACE,In the fetch_historical_prices_by_date_range docstring change '(e.g. IG epic)' to '(e.g. IG epic such as IX.D.DAX.DAILY.IP or IBKR canonical symbol such as DAX or EURUSD)'.
model/model_components/broker_adapter.py,143,IG deal_reference pattern,"            ``{""deal_reference"": str}``",VERIFY,Protocol defines open_position return as {'deal_reference': str}. For IBKR deal_reference will be str(trade.order.orderId). Verify that order_executor.py lines 114-124 treat deal_reference as an opaque string and do not parse it as an IG dealReference format.
model/model_components/broker_adapter.py,149,IG deal_id concept,"        deal_id: str,",VERIFY,"Protocol signature close_position(deal_id: str, ...) is broker-agnostic. For IBKR deal_id is str(conId). Verify that order_executor.py line 91 passes pos['deal_id'] unmodified; no Protocol signature change needed."
model/model_components/broker_adapter.py,160,IG deal_reference pattern,"            ``{""deal_reference"": str}``",VERIFY,close_position also returns {'deal_reference': str}. For IBKR this is str(trade.order.orderId). Verify consumers treat it as an opaque string; no Protocol change needed.
model/model_components/broker_adapter.py,164,IG confirm_deal two-step pattern; IG deal_reference pattern,"    def confirm_deal(self, deal_reference: str) -> dict:",REPLACE,Update the confirm_deal docstring to add: 'For IBKR: polls trade.orderStatus until trade.isDone() for up to 10 s; returns ACCEPTED when status == Filled. The deal_reference argument is the orderId as a string returned by open_position or close_position.' Method signature is unchanged.
model/model_components/broker_adapter.py,170,IG deal_id concept,"            ``{""status"": str, ""deal_id"": str | None}``",VERIFY,"confirm_deal returns {'status': str, 'deal_id': str | None}. For IBKR deal_id will be str(contract.conId). Verify order_executor.py line 124 stores it without assuming IG format; no Protocol change needed."
model/model_components/broker_connector.py,17,IG credentials/SDK import,from .ig_adapter import IGBrokerAdapter,NO_CHANGE_ADAPTER_HANDLES,IGBrokerAdapter import in broker_connector.py is unchanged. The IBKR adapter is conditionally imported via the existing try/except lazy-import guard at lines 27-31.
model/model_components/broker_connector.py,22,IG broker config key; IG credentials/SDK import,"    ""ig"": IGBrokerAdapter,",NO_CHANGE_ADAPTER_HANDLES,_ADAPTER_REGISTRY already contains 'ig': IGBrokerAdapter. The lazy-import guard at lines 27-31 adds 'ibkr': IBKRBrokerAdapter when ib_async is installed. No change needed to this line.
model/model_components/broker_connector.py,57-58,IG broker config key,"        """"""Instantiate the broker adapter named in config (default ``ig``).""""""",REPLACE,"Update the _create_adapter docstring from 'Instantiate the broker adapter named in config (default ``ig``).' to 'Instantiate the broker adapter named in config; supported values are ""ig"" and ""ibkr"".'"
model/model_components/data_pipeline.py,11,IG universe tooling,maintained in ``universe_candidates.json``:,NO_CHANGE_ADAPTER_HANDLES,"Module docstring references universe_candidates.json which remains as the instrument candidate store. After IBKR migration the file uses instrument_id keys instead of epic keys, but the path and loading logic are unchanged."
model/model_components/data_pipeline.py,42,IG epic identifier; IG-epic keyed YH ticker map,"from .yh_finance_fetcher import EPIC_TO_YH_TICKER, YHFinanceFetcher",REPLACE,Change the import alias: update 'from .yh_finance_fetcher import EPIC_TO_YH_TICKER' to 'from .yh_finance_fetcher import INSTRUMENT_TO_YH_TICKER' (after renaming the dict in yh_finance_fetcher.py). Update all references to EPIC_TO_YH_TICKER in data_pipeline.py to INSTRUMENT_TO_YH_TICKER.
model/model_components/data_pipeline.py,55-56,IG universe tooling,"    CANDIDATES_PATH = ""data/input/universe_candidates.json""",NO_CHANGE_ADAPTER_HANDLES,"CANDIDATES_PATH constant is unchanged. After IBKR migration, universe_candidates.json entries use instrument_id keys instead of epic keys; only the JSON content changes, not the file path."
model/model_components/data_pipeline.py,77-79,IG universe tooling,"        4. After each fetch, update the T2 status in ``universe_candidates.json``",NO_CHANGE_ADAPTER_HANDLES,Docstring describes T2 validation flow using universe_candidates.json. The flow is broker-agnostic; only the instrument key name in the JSON changes from 'epic' to 'instrument_id'.
model/model_components/data_pipeline.py,300-301,IG epic identifier,                        for epic in cols_to_drop:,RENAME,Rename loop variable 'epic' to 'instrument_id' at line 300-301. The semantics are unchanged; this is a variable-name-only change.
model/model_components/data_pipeline.py,343-344,IG universe tooling,"        P2: All entries from ``universe_candidates.json`` are included, not only",NO_CHANGE_ADAPTER_HANDLES,Internal docstring about P2 candidate inclusion logic; unchanged. The data flow is broker-agnostic.
model/model_components/data_pipeline.py,351,IG epic identifier,"        master series for each epic, making the discrepancy explicit.",REPLACE,In the docstring at line 351 change 'master series for each epic' to 'master series for each instrument_id'.
model/model_components/data_pipeline.py,377-385,IG epic identifier; IG universe tooling,        seen_epics: set[str] = set(),RENAME,Rename 'seen_epics: set[str]' to 'seen_instruments: set[str]' at line 377 and rename 'cand_epic' to 'cand_id' at line 382 and all further uses in the same method.
